time,z_real,z_imag,radius,mean,mean_offset,mean_rate,mean_quadrature_difference,max_nodal_rate_residual,source_work,metric_speed_squared,internal_source_work,internal_dissipation
0.0,-0.019894367886486918,0.019894367886486918,0.028134884879909568,0.5,0.0,0.0,0.0,2.862293735361732e-17,0.0011873576208086456,0.0011873576208086458,0.002374715241617292,0.002374715241617292
0.1308996938995747,-0.021152926431554402,0.018550618603890578,0.028134884879909568,0.49999963590954893,-3.6409045104043293e-07,-5.545008575014684e-06,4.2999574627805353e-17,2.3418766925686896e-17,0.0011873581742568077,0.001187358174256808,0.0023747152416172916,0.002374715241617292
0.2617993877991494,-0.022320904898185622,0.017127432724489595,0.028134884879909568,0.49999855762999057,-1.4423700094306535e-06,-1.0876925537417913e-05,1.7037665393370306e-16,1.5612511283791264e-17,0.0011873597503438101,0.0011873597503438105,0.002374715241617292,0.002374715241617292
0.39269908169872414,-0.023393301823275148,0.015630904548711043,0.028134884879909564,0.49999680659901125,-3.1934009887737692e-06,-1.5790848280174632e-05,3.7719817097244326e-16,3.69712940817557e-17,0.0011873621091246555,0.0011873621091246555,0.0023747152416172916,0.002374715241617291
0.5235987755982988,-0.02436552503855238,0.014067442439954784,0.028134884879909564,0.49999445010775934,-5.549892240643262e-06,-2.0097937503665673e-05,6.555713139228328e-16,1.214306433183765e-17,0.0011873648914963,0.0011873648914963002,0.002374715241617292,0.002374715241617291
0.6544984694978735,-0.02523341133495107,0.012443741382997588,0.028134884879909564,0.499991578714881,-8.421285119009971e-06,-2.3632674205531566e-05,9.947554932554503e-16,3.3068166260807885e-17,0.001187367673867868,0.001187367673867868,0.0023747152416172916,0.002374715241617291
0.7853981633974483,-0.025993244290109723,0.010766754315040457,0.028134884879909568,0.49998830276639883,-1.1697233601174068e-05,-2.625922047602391e-05,1.3817394358675225e-15,1.734723475976807e-17,0.0011873700326485263,0.0011873700326485263,0.0023747152416172925,0.002374715241617292
0.916297857297023,-0.026641770182662654,0.009043662352164139,0.028134884879909564,0.4999847481551749,-1.5251844825112177e-05,-2.7876639659410908e-05,1.8016255262827408e-15,2.1250362580715887e-17,0.0011873716087353425,0.0011873716087353425,0.002374715241617292,0.002374715241617291
1.0471975511965976,-0.02717621192517446,0.007281844038687546,0.028134884879909564,0.49998105148291877,-1.8948517081235277e-05,-2.84227752780656e-05,2.2382947275148557e-15,4.336808689942018e-18,0.0011873721621834268,0.0011873721621834272,0.0023747152416172916,0.002374715241617291
1.1780972450961724,-0.027594280956054713,0.0054888437511082565,0.028134884879909568,0.49997735481066263,-2.264518933735836e-05,-2.787663965941053e-05,2.6749673168787597e-15,1.3877787807814457e-17,0.0011873716087353425,0.001187371608735343,0.0023747152416172916,0.002374715241617292
1.308996938995747,-0.027894187039530054,0.003672339391924103,0.028134884879909564,0.4999738001994387,-2.6199800561296445e-05,-2.6259220476024655e-05,3.0948347725691383e-15,2.3418766925686896e-17,0.001187370032648526,0.001187370032648526,0.0023747152416172925,0.002374715241617291
1.4398966328953218,-0.028074645931708626,0.0018401095116759238,0.028134884879909564,0.49997052425095656,-2.947574904346054e-05,-2.3632674205531197e-05,3.481817021115316e-15,3.469446951953614e-17,0.0011873676738678681,0.0011873676738678677,0.0023747152416172916,0.002374715241617291
1.5707963267948966,-0.028134884879909568,0.0,0.028134884879909568,0.49996765285807815,-3.234714192182726e-05,-2.009793750366642e-05,3.821019835172773e-15,2.7755575615628914e-17,0.0011873648914963002,0.0011873648914963006,0.002374715241617292,0.002374715241617292
1.7016960206944711,-0.028074645931708626,-0.0018401095116759194,0.028134884879909564,0.4999652963668263,-3.470363317369674e-05,-1.5790848280174632e-05,4.099381966694848e-15,2.2551405187698492e-17,0.0011873621091246555,0.001187362109124655,0.0023747152416172916,0.002374715241617291
1.832595714594046,-0.027894187039530054,-0.003672339391924099,0.028134884879909564,0.49996354533584697,-3.645466415303984e-05,-1.0876925537417913e-05,4.306207083623614e-15,1.214306433183765e-17,0.0011873597503438105,0.0011873597503438105,0.002374715241617292,0.002374715241617291
1.9634954084936205,-0.027594280956054713,-0.00548884375110825,0.028134884879909568,0.49996246705628855,-3.7532943711430086e-05,-5.545008575013986e-06,4.433573733836349e-15,3.2959746043559335e-17,0.0011873581742568077,0.0011873581742568079,0.002374715241617292,0.002374715241617292
2.0943951023931953,-0.027176211925174464,-0.00728184403868754,0.028134884879909568,0.49996210296583754,-3.789703416247051e-05,0.0,4.4766233363476016e-15,1.214306433183765e-17,0.0011873576208086465,0.0011873576208086465,0.002374715241617292,0.002374715241617292
2.22529479629277,-0.02664177018266266,-0.009043662352164132,0.028134884879909568,0.49996246705628855,-3.753294371143009e-05,5.545008575013986e-06,4.433594062627083e-15,5.724587470723463e-17,0.001187358174256808,0.0011873581742568083,0.0023747152416172925,0.002374715241617292
2.356194490192345,-0.025993244290109723,-0.010766754315040457,0.028134884879909568,0.49996354533584697,-3.6454664153039856e-05,1.087692553741717e-05,4.3062409649415045e-15,5.4860629927766524e-17,0.0011873597503438108,0.0011873597503438108,0.0023747152416172925,0.002374715241617292
2.4870941840919194,-0.025233411334951075,-0.012443741382997581,0.028134884879909568,0.4999652963668263,-3.470363317369675e-05,1.5790848280174632e-05,4.099436176803473e-15,3.155028321932818e-17,0.0011873621091246555,0.0011873621091246555,0.0023747152416172916,0.002374715241617292
2.617993877991494,-0.024365525038552382,-0.014067442439954777,0.028134884879909564,0.49996765285807815,-3.2347141921827264e-05,2.0097937503666415e-05,3.821074045281397e-15,2.648841432653648e-17,0.0011873648914963002,0.0011873648914963002,0.0023747152416172916,0.002374715241617291
2.748893571891069,-0.02339330182327515,-0.01563090454871104,0.028134884879909568,0.49997052425095656,-2.9475749043460553e-05,2.3632674205531197e-05,3.4818746193557293e-15,8.326672684688674e-17,0.001187367673867868,0.001187367673867868,0.002374715241617292,0.002374715241617292
2.8797932657906435,-0.022320904898185622,-0.01712743272448959,0.028134884879909564,0.4999738001994387,-2.6199800561296472e-05,2.625922047602391e-05,3.0948822064141845e-15,3.9898639947466563e-17,0.0011873700326485263,0.0011873700326485261,0.002374715241617292,0.002374715241617291
3.010692959690218,-0.021152926431554406,-0.01855061860389057,0.028134884879909564,0.49997735481066263,-2.264518933735838e-05,2.7876639659410908e-05,2.6749944219330718e-15,3.642919299551295e-17,0.001187371608735343,0.0011873716087353425,0.002374715241617291,0.002374715241617291
3.141592653589793,-0.019894367886486918,-0.019894367886486915,0.028134884879909564,0.49998105148291877,-1.8948517081235284e-05,2.8422775278065968e-05,2.2383150563055898e-15,2.0816681711721685e-17,0.0011873721621834272,0.001187372162183427,0.002374715241617291,0.002374715241617291
3.2724923474893677,-0.018550618603890578,-0.021152926431554395,0.028134884879909564,0.4999847481551749,-1.5251844825112186e-05,2.7876639659410908e-05,1.8016289144145298e-15,2.6020852139652106e-17,0.0011873716087353425,0.0011873716087353423,0.002374715241617291,0.002374715241617291
3.4033920413889422,-0.0171274327244896,-0.02232090489818562,0.028134884879909568,0.49998830276639883,-1.1697233601174091e-05,2.6259220476024655e-05,1.3817428239993115e-15,4.9439619065339e-17,0.0011873700326485263,0.0011873700326485261,0.002374715241617292,0.002374715241617292
3.534291735288517,-0.01563090454871105,-0.023393301823275144,0.028134884879909568,0.499991578714881,-8.421285119009983e-06,2.363267420553194e-05,9.9477412798029e-16,6.765421556309548e-17,0.0011873676738678677,0.0011873676738678677,0.0023747152416172916,0.002374715241617292
3.665191429188092,-0.014067442439954786,-0.02436552503855238,0.028134884879909568,0.49999445010775934,-5.549892240643267e-06,2.0097937503666415e-05,6.555831723840944e-16,1.214306433183765e-17,0.0011873648914963,0.0011873648914962997,0.002374715241617292,0.002374715241617292
3.7960911230876664,-0.01244374138299759,-0.025233411334951068,0.028134884879909564,0.49999680659901125,-3.1934009887737684e-06,1.5790848280175378e-05,3.772201938290719e-16,5.898059818321144e-17,0.001187362109124655,0.001187362109124655,0.002374715241617291,0.002374715241617291
