symbol,label,xi_c,mean_grad,mean_kphi,mean_path_length,u6_drift,u6_ok
H,H,0.0,0.0,0.0,1.6923076923076923,0.29290073026517266,True
C,C,0.0,0.0,0.0,3.062015503875969,0.4053203993896099,True
N,N,0.0,0.0,0.0,3.330249768732655,0.44293133839897836,True
O,O,0.0,0.0,0.0,3.348235294117647,0.4629823487523243,True
Au,Au,0.0,0.0,0.0,9.342961837518992,1.3609642052857507,True
Au-net,Au-network (n=4),0.0,0.0,0.0,10.715869494944991,3.0073362993133137,False
