sigma,dnfr
-2.0,5.186364168239513
-1.9899799599198398,5.165568849157194
-1.9799599198396793,5.1447736298362035
-1.9699398797595191,5.1239785098770625
-1.9599198396793587,5.103183488880266
-1.9498997995991985,5.08238856644629
-1.939879759519038,5.061593742175581
-1.9298597194388778,5.040799015668567
-1.9198396793587174,5.02000438652565
-1.9098196392785571,4.999209854347209
-1.899799599198397,4.978415418733603
-1.8897795591182365,4.957621079285162
-1.8797595190380763,4.936826835602197
-1.8697394789579158,4.916032687284994
-1.8597194388777556,4.8952386339338165
-1.8496993987975952,4.874444675148908
-1.839679358717435,4.853650810530485
-1.8296593186372745,4.832857039678746
-1.8196392785571143,4.8120633621938635
-1.8096192384769538,4.7912697776759865
-1.7995991983967936,4.770476285725247
-1.7895791583166334,4.74968288594175
-1.779559118236473,4.72888957792558
-1.7695390781563127,4.7080963612768
-1.7595190380761523,4.68730323559545
-1.749498997995992,4.666510200481551
-1.7394789579158316,4.6457172555350965
-1.7294589178356714,4.624924400356066
-1.719438877755511,4.60413163454441
-1.7094188376753507,4.583338957700063
-1.6993987975951903,4.562546369422934
-1.68937875751503,4.541753869312915
-1.6793587174348699,4.520961456969876
-1.6693386773547094,4.500169131993661
-1.659318637274549,4.4793768939840986
-1.6492985971943888,4.458584742540996
-1.6392785571142285,4.437792677264135
-1.629258517034068,4.417000697753283
-1.6192384769539079,4.396208803608182
-1.6092184368737474,4.375416994428557
-1.5991983967935872,4.35462526981411
-1.5891783567134268,4.333833629364523
-1.5791583166332666,4.31304207267946
-1.5691382765531063,4.292250599358561
-1.559118236472946,4.27145920900145
-1.5490981963927855,4.250667901207729
-1.5390781563126252,4.22987667557698
-1.529058116232465,4.2090855317087685
-1.5190380761523046,4.188294469202635
-1.5090180360721444,4.167503487658104
-1.4989979959919841,4.146712586674679
-1.4889779559118237,4.125921765851846
-1.4789579158316633,4.1051310247890695
-1.468937875751503,4.084340363085797
-1.4589178356713428,4.063549780341457
-1.4488977955911824,4.042759276155455
-1.438877755511022,4.021968850127183
-1.4288577154308617,4.001178501856012
-1.4188376753507015,3.980388230941293
-1.408817635270541,3.959598036982359
-1.3987975951903808,3.9388079195785264
-1.3887775551102206,3.9180178783290924
-1.3787575150300602,3.8972279128333343
-1.3687374749498997,3.8764380226905115
-1.3587174348697395,3.8556482074998693
-1.3486973947895793,3.834858466860628
-1.3386773547094188,3.814068800371996
-1.3286573146292584,3.793279207633161
-1.3186372745490982,3.772489688243294
-1.308617234468938,3.7517002418015495
-1.2985971943887775,3.73091086790706
-1.2885771543086173,3.710121566158947
-1.278557114228457,3.6893323361563075
-1.2685370741482966,3.6685431774982273
-1.2585170340681362,3.6477540897837724
-1.248496993987976,3.6269650726119917
-1.2384769539078158,3.6061761255819196
-1.2284569138276553,3.585387248292569
-1.2184368737474949,3.5645984403429396
-1.2084168336673347,3.5438097013320147
-1.1983967935871744,3.5230210308587573
-1.188376753507014,3.502232428522118
-1.1783567134268538,3.4814438939210293
-1.1683366733466936,3.4606554266544087
-1.1583166332665331,3.439867026321154
-1.1482965931863727,3.419078692520151
-1.1382765531062125,3.398290424850268
-1.1282565130260522,3.3775022229103557
-1.1182364729458918,3.3567140862992515
-1.1082164328657313,3.3359260146157763
-1.0981963927855711,3.315138007458734
-1.088176352705411,3.2943500644269172
-1.0781563126252505,3.2735621851190966
-1.0681362725450902,3.2527743691340336
-1.05811623246493,3.231986616070469
-1.0480961923847696,3.211198925527133
-1.0380761523046091,3.1904112971027394
-1.028056112224449,3.169623730395986
-1.0180360721442887,3.148836225005558
