sigma,chi_mag,log_chi_mag,phi_s,unitary_error
0.7837837837837838,0.794502079043488,-0.23003967621396573,-1.6039187316959562,0.20549792095651198
0.7847847847847848,0.7938575523031213,-0.23085123898982896,-1.600786614555213,0.20614244769687873
0.7857857857857857,0.7932135472905836,-0.2316628031951751,-1.5976667940380718,0.20678645270941642
0.7867867867867868,0.7925700635804923,-0.23247436883502479,-1.5945591837499629,0.2074299364195077
0.7877877877877878,0.7919271007478178,-0.23328593591439814,-1.5914636981994381,0.2080728992521822
0.7887887887887888,0.7912846583678823,-0.23409750443831567,-1.5883802527856272,0.2087153416321177
0.7897897897897898,0.7906427360163603,-0.23490907441179756,-1.5853087637859105,0.20935726398363974
0.7907907907907907,0.7900013332692776,-0.23572064583986416,-1.5822491483438068,0.20999866673072243
0.7917917917917918,0.7893604497030116,-0.23653221872753583,-1.5792013244570655,0.21063955029698844
0.7927927927927928,0.7887200848942909,-0.23734379307983242,-1.5761652109659683,0.2112799151057091
0.7937937937937938,0.7880802384201947,-0.23815536890177427,-1.5731407275418225,0.2119197615798053
0.7947947947947948,0.7874409098581527,-0.23896694619838135,-1.570127794675658,0.21255909014184726
0.7957957957957957,0.7868020987859449,-0.23977852497467378,-1.567126333667111,0.21319790121405513
0.7967967967967968,0.7861638047817008,-0.2405901052356717,-1.564136266613497,0.21383619521829922
0.7977977977977978,0.7855260274239001,-0.2414016869863947,-1.561157516399068,0.2144739725760999
0.7987987987987988,0.7848887662913713,-0.24221327023186298,-1.5581900066844492,0.21511123370862872
0.7997997997997998,0.7842520209632922,-0.24302485497709614,-1.5552336618962523,0.21574797903670784
0.8008008008008007,0.7836157910191889,-0.24383644122711431,-1.5522884072168641,0.21638420898081112
0.8018018018018018,0.7829800760389364,-0.24464802898693702,-1.5493541685744,0.21701992396106362
0.8028028028028028,0.7823448756027575,-0.2454596182615841,-1.5464308726328304,0.21765512439724255
0.8038038038038038,0.7817101892912227,-0.2462712090560753,-1.5435184467822638,0.2182898107087773
0.8048048048048048,0.7810760166852506,-0.24708280137542996,-1.5406168191293925,0.21892398331474938
0.8058058058058059,0.7804423573661062,-0.24789439522466805,-1.537725918488096,0.21955764263389377
0.8068068068068068,0.7798092109154022,-0.24870599060880877,-1.5348456743701966,0.22019078908459777
0.8078078078078078,0.7791765769150973,-0.24951758753287187,-1.5319760169763645,0.22082342308490266
0.8088088088088088,0.7785444549474971,-0.25032918600187654,-1.5291168771871726,0.22145554505250287
0.8098098098098098,0.7779128445952527,-0.2511407860208425,-1.5262681865542949,0.22208715540474733
0.8108108108108109,0.7772817454413613,-0.2519523875947889,-1.5234298772918473,0.2227182545586387
0.8118118118118118,0.7766511570691655,-0.25276399072873507,-1.520601882267868,0.22334884293083446
0.8128128128128128,0.7760210790623532,-0.25357559542770014,-1.5177841349959322,0.22397892093764682
0.8138138138138138,0.7753915110049567,-0.2543872016967036,-1.5149765696269042,0.22460848899504327
0.8148148148148148,0.7747624524813534,-0.2551988095407644,-1.5121791209408182,0.22523754751864655
0.8158158158158159,0.7741339030762647,-0.25601041896490184,-1.5093917243388886,0.22586609692373527
0.8168168168168168,0.7735058623747562,-0.2568220299741349,-1.5066143158356482,0.22649413762524384
0.8178178178178178,0.7728783299622369,-0.2576336425734824,-1.5038468320512075,0.22712167003776307
0.8188188188188188,0.7722513054244595,-0.2584452567679637,-1.501089210203639,0.22774869457554048
0.8198198198198198,0.7716247883475198,-0.2592568725625974,-1.4983413881014778,0.2283752116524802
0.8208208208208209,0.7709987783178561,-0.2600684899624026,-1.4956033041363412,0.22900122168214387
0.8218218218218218,0.7703732749222497,-0.260880108972398,-1.492874897275665,0.22962672507775028
0.8228228228228228,0.7697482777478238,-0.26169172959760245,-1.4901561070555462,0.23025172225217616
0.8238238238238238,0.7691237863820438,-0.2625033518430347,-1.4874468735737052,0.23087621361795618
0.8248248248248248,0.7684998004127167,-0.2633149757137132,-1.484747137482549,0.2315001995872833
0.8258258258258259,0.7678763194279906,-0.2641266012146569,-1.4820568399823455,0.23212368057200938
0.8268268268268268,0.7672533430163552,-0.26493822835088426,-1.4793759228145025,0.23274665698364483
0.8278278278278278,0.7666308707666406,-0.26574985712741367,-1.4767043282549461,0.2333691292333594
0.8288288288288288,0.7660089022680174,-0.266561487549264,-1.474041999107603,0.23399109773198257
0.8298298298298298,0.7653874371099969,-0.26737311962145327,-1.4713888786979819,0.2346125628900031
0.8308308308308309,0.7647664748824297,-0.26818475334900016,-1.4687449108668498,0.23523352511757034
0.8318318318318318,0.7641460151755064,-0.26899638873692283,-1.4661100399640068,0.2358539848244936
0.8328328328328328,0.7635260575797571,-0.2698080257902395,-1.4634842108421524,0.2364739424202429
0.8338338338338338,0.7629066016860505,-0.2706196645139687,-1.4608673688508447,0.2370933983139495
0.8348348348348348,0.7622876470855945,-0.27143130491312845,-1.4582594598305498,0.2377123529144055
