index,height,source
1,14.134725141734695,tnfr_builtin
2,21.022039638771556,tnfr_builtin
3,25.01085758014569,tnfr_builtin
4,30.424876125859512,tnfr_builtin
5,32.93506158773919,tnfr_builtin
6,37.586178158825675,tnfr_builtin
7,40.9187190121475,tnfr_builtin
8,43.327073280915,tnfr_builtin
9,48.00515088116716,tnfr_builtin
10,49.7738324776723,tnfr_builtin
11,52.970321477714464,tnfr_builtin
12,56.44624769706358,tnfr_builtin
13,59.34704400326981,tnfr_builtin
14,60.831778524671364,tnfr_builtin
15,65.11254404841554,tnfr_builtin
16,67.07981052949417,tnfr_builtin
17,69.54640171128655,tnfr_builtin
18,72.0671576744819,tnfr_builtin
19,75.70469069908394,tnfr_builtin
20,77.14484006887476,tnfr_builtin
21,79.33737502024937,tnfr_builtin
22,82.9103808543412,tnfr_builtin
23,84.73549298132986,tnfr_builtin
24,87.42527461319347,tnfr_builtin
25,88.8091112084635,tnfr_builtin
26,92.4918992713537,tnfr_builtin
27,94.65134404104738,tnfr_builtin
28,95.87063422824579,tnfr_builtin
29,98.83119421819326,tnfr_builtin
30,101.31785100650627,tnfr_builtin
31,103.72553804017188,tnfr_builtin
32,105.4466230527637,tnfr_builtin
33,107.16861118472227,tnfr_builtin
34,111.02953544284763,tnfr_builtin
35,111.87465922034386,tnfr_builtin
36,114.32022091590427,tnfr_builtin
37,116.2266803217975,tnfr_builtin
38,118.79078286650268,tnfr_builtin
39,121.37012500232788,tnfr_builtin
40,122.94682929477969,tnfr_builtin
41,124.25681855419204,tnfr_builtin
42,127.5166833252794,tnfr_builtin
43,129.57870420000077,tnfr_builtin
44,131.0876885310438,tnfr_builtin
45,133.49773720371803,tnfr_builtin
46,134.75650903231906,tnfr_builtin
47,138.11604205570336,tnfr_builtin
48,139.73620895229544,tnfr_builtin
49,141.12370740442583,tnfr_builtin
50,143.11184580891066,tnfr_builtin
51,146.00098248732,tnfr_builtin
52,147.422765339947,tnfr_builtin
53,150.05352046791631,tnfr_builtin
54,150.92525738887875,tnfr_builtin
55,153.0246938117519,tnfr_builtin
56,156.1129092946474,tnfr_builtin
57,157.59759181888464,tnfr_builtin
58,158.84932407131546,tnfr_builtin
59,161.18896413880512,tnfr_builtin
60,163.03070968748645,tnfr_builtin
61,165.53706964946775,tnfr_builtin
62,167.1844390260804,tnfr_builtin
63,169.09451541530743,tnfr_builtin
64,169.9119764799157,tnfr_builtin
65,173.41153652076684,tnfr_builtin
66,174.7541915239013,tnfr_builtin
67,176.44143429806448,tnfr_builtin
68,178.37740777537866,tnfr_builtin
69,179.91648453072827,tnfr_builtin
70,182.20707825521498,tnfr_builtin
71,184.87446706516636,tnfr_builtin
72,185.5987836688649,tnfr_builtin
73,187.22892258467948,tnfr_builtin
74,189.4165108897972,tnfr_builtin
75,192.02665683281856,tnfr_builtin
76,193.07972660472817,tnfr_builtin
77,195.26539668003852,tnfr_builtin
78,196.8764818411625,tnfr_builtin
79,198.01530967698133,tnfr_builtin
80,201.26475194424796,tnfr_builtin
81,202.4935945143188,tnfr_builtin
82,204.18967145919225,tnfr_builtin
83,205.39452925976724,tnfr_builtin
84,207.90625888846688,tnfr_builtin
85,209.57650946883655,tnfr_builtin
86,211.6908625957698,tnfr_builtin
87,213.3479193605213,tnfr_builtin
88,214.5470448476697,tnfr_builtin
89,216.16953850821423,tnfr_builtin
90,219.06759628099124,tnfr_builtin
91,220.71491827846887,tnfr_builtin
92,221.43070597152308,tnfr_builtin
93,224.00700819746018,tnfr_builtin
94,224.9833246706473,tnfr_builtin
95,227.4214442801658,tnfr_builtin
96,229.33741330657293,tnfr_builtin
97,231.2501887000431,tnfr_builtin
98,231.98723518913908,tnfr_builtin
99,233.69340417931767,tnfr_builtin
100,236.52422966631772,tnfr_builtin
101,238.486907639424,odlyzko_1-10k
102,240.073148585521,odlyzko_1-10k
103,242.048247559106,odlyzko_1-10k
104,243.840220045316,odlyzko_1-10k
105,245.49726078332,odlyzko_1-10k
106,247.11116102556,odlyzko_1-10k
107,248.761526419973,odlyzko_1-10k
108,250.384171846043,odlyzko_1-10k
109,252.200874566831,odlyzko_1-10k
110,254.142578818012,odlyzko_1-10k
111,255.527050507103,odlyzko_1-10k
112,257.227212615836,odlyzko_1-10k
113,258.725791475509,odlyzko_1-10k
114,260.268818433101,odlyzko_1-10k
115,262.175435881546,odlyzko_1-10k
116,263.69037050143,odlyzko_1-10k
117,265.445118209755,odlyzko_1-10k
118,267.176020517102,odlyzko_1-10k
119,268.622124739741,odlyzko_1-10k
120,270.307755533821,odlyzko_1-10k
121,271.648111667593,odlyzko_1-10k
122,273.360339362954,odlyzko_1-10k
123,275.250025435451,odlyzko_1-10k
124,276.825133442953,odlyzko_1-10k
125,278.66696214057,odlyzko_1-10k
126,280.133461361704,odlyzko_1-10k
127,281.556059614013,odlyzko_1-10k
128,283.467763924693,odlyzko_1-10k
129,285.44226919209,odlyzko_1-10k
130,287.029345491468,odlyzko_1-10k
131,288.560648875304,odlyzko_1-10k
132,290.217390856543,odlyzko_1-10k
133,292.166028347341,odlyzko_1-10k
134,293.610082973678,odlyzko_1-10k
135,295.063824288395,odlyzko_1-10k
136,296.976549270972,odlyzko_1-10k
137,298.369456553357,odlyzko_1-10k
138,299.909717377969,odlyzko_1-10k
139,301.630461623633,odlyzko_1-10k
140,303.289218547069,odlyzko_1-10k
141,304.962555304239,odlyzko_1-10k
142,306.478114805308,odlyzko_1-10k
143,308.309886118272,odlyzko_1-10k
144,310.173343855258,odlyzko_1-10k
