t,phi_s,phase,phase_grad
10.0,0.4377351482423889,-0.07451825729989794,0.0
10.015007503751876,0.43802012270842733,-0.07800781147849926,0.23252062676746038
10.030015007503751,0.43828495847458365,-0.08150861941987853,0.23327050249392475
10.045022511255628,0.4385295382544131,-0.08502066425738516,0.23401925433918477
10.060030015007504,0.4387537437065713,-0.08854392917489205,0.23476688566986798
10.07503751875938,0.4389574554185443,-0.09207839740657017,0.2355133998374777
10.090045022511255,0.43914055289008685,-0.09562405223666236,0.23625880017849615
10.105052526263131,0.43930291451636194,-0.0991808769992608,0.2370030900144685
10.120060030015008,0.43944441757077524,-0.10274885507808162,0.2377462726520865
10.135067533766884,0.43956493818749776,-0.10632796990624516,0.23848835138328892
10.150075037518759,0.4396643513436693,-0.10991820496605482,0.23922932948533807
10.165082541270635,0.4397425308412757,-0.11351954378878003,0.23996921022091486
10.180090045022512,0.43979934928869124,-0.11713196995443596,0.2407079968381993
10.195097548774386,0.43983467808188126,-0.12075546709156862,0.24144569257096
10.210105052526263,0.4398483873852538,-0.12439001887704107,0.24218230063863974
10.22511255627814,0.43984034611215445,-0.12803560903581712,0.24291782424643635
10.240120060030016,0.4398104219049954,-0.13169222134075062,0.24365226658539418
10.25512756378189,0.4397584811150102,-0.1353598396123732,0.24438563083247147
10.270135067533767,0.43968438878162525,-0.1390384477186862,0.24511792015064915
10.285142571285643,0.4395880086114394,-0.1427280295749492,0.24584913768898337
10.300150075037518,0.4394692029568025,-0.14642856914347382,0.24657928658271158
10.315157578789394,0.43932783279398263,-0.15014005043341871,0.24730836995331978
10.33016508254127,0.4391637577009135,-0.15386245750058175,0.2480363909086222
10.345172586293147,0.43897683583451064,-0.15759577444719794,0.2487633525428506
10.360180090045022,0.4387669239075475,-0.1613399854217358,0.2494892579367278
10.375187593796898,0.43853387716507947,-0.1650950746186976,0.25021411015754624
10.390195097548775,0.43827754936040597,-0.16886102627841615,0.25093791225923767
10.405202601300651,0.4379977927305593,-0.17263782468685762,0.25166066728247527
10.420210105052526,0.4376944579713079,-0.1764254541754224,0.25238237825472193
10.435217608804402,0.4373673942116637,-0.18022389912075,0.25310304819031937
10.450225112556279,0.43701644898787956,-0.18403314394452058,0.25382268009057246
10.465232616308153,0.43664146821692634,-0.18785317311326175,0.25454127694380796
10.48024012006003,0.4362422961694346,-0.1916839711381562,0.2552588417254581
10.495247623811906,0.4358187754420898,-0.19552552257484665,0.25597537739813264
10.510255127563783,0.43537074692946565,-0.19937781202324648,0.25669088691170006
10.525262631315657,0.43489804979528274,-0.20324082412734837,0.25740537320334483
10.540270135067534,0.43440052144307706,-0.20711454357503717,0.2581188391976553
10.55527763881941,0.4338779974862651,-0.21099895509789898,0.25883128780668374
10.570285142571286,0.4333303117175884,-0.21489404347103613,0.25954272193003036
10.585292646323161,0.432757296077923,-0.21879979351288031,0.2602531444549062
10.600300150075038,0.43215878062443747,-0.22271619008500948,0.26096255825619824
10.615307653826914,0.4315345934980826,-0.2266432180919614,0.2616709661965538
10.630315157578789,0.43088456089039573,-0.23058086248105222,0.2623783711264417
10.645322661330665,0.4302085070096018,-0.2345291082421962,0.26308477588421797
10.660330165082541,0.42950625404599346,-0.2384879404077221,0.26379018329620013
10.675337668834418,0.4287776221365709,-0.24245734405219552,0.26449459617673754
10.690345172586293,0.4280224293289221,-0.24643730429223926,0.2651980173282706
10.705352676338169,0.42724049154432403,-0.25042780628635747,0.2659004495414015
10.720360180090045,0.4264316225400442,-0.25442883523475635,0.26660189559496983
10.735367683841922,0.42559563387082044,-0.2584403763791701,0.2673023582560952
10.750375187593797,0.42473233484949885,-0.26246241500268563,0.26800184028027396
10.765382691345673,0.423841532506805,-0.26649493642957056,0.26870034441142354
10.78039019509755,0.4229230315502282,-0.27053792602509763,0.26939787338194493
10.795397698849424,0.4219766343219922,-0.2745913691953745,0.27009442991280685
10.8104052026013,0.4210021407560884,-0.2786552513871744,0.2707900167135893
10.825412706353177,0.419999348334348,-0.2827295580877631,0.2714846364825532
10.840420210105053,0.41896805204152343,-0.28681427482473243,0.2721782919067126
10.855427713856928,0.4179080443193549,-0.290909387165831,0.2728709856618901
10.870435217608804,0.4168191150195919,-0.29501488071879906,0.27356272041276386
10.88544272136068,0.4157010513559432,-0.2991307411311998,0.2742534988129611
10.900450225112557,0.414553637854923,-0.30325695409025594,0.27494332350509787
10.915457728864432,0.4133766563055636,-0.3073935053226844,0.2756321971208396
10.930465232616308,0.41216988570796304,-0.311540380594535,0.27632012228096875
10.945472736368185,0.4109331022206347,-0.315697565711025,0.2770071015954408
10.96048024012006,0.40966607910662484,-0.31986504651637904,0.2776931376634495
10.975487743871936,0.40836858667836146,-0.32404280889367,0.27837823307347787
10.990495247623812,0.4070403922412026,-0.3282308387646561,0.2790623904033646
11.005502751375687,0.4056812600356413,-0.33242912208962355,0.2797456122203562
11.020510255127563,0.4042909511781319,-0.33663764486722997,0.28042790108116505
11.03551775887944,0.40286922360049743,-0.3408563931343441,0.2811092595320309
11.050525262631316,0.4014158319878752,-0.3450853529658918,0.28178969010878563
11.065532766383193,0.39993052771515936,-0.3493245104746997,0.2824691953368891
11.080540270135067,0.3984130587818953,-0.3535738518113401,0.28314777773149624
11.095547773886944,0.3968631697455799,-0.3578333631639795,0.28382543979753017
11.11055527763882,0.39528060165332235,-0.3621030307582223,0.2845021840297025
11.125562781390695,0.39366509197181354,-0.3663828408569603,0.2851780129126007
11.140570285142571,0.3920163745155545,-0.370672779760223,0.2858529289207273
